Month,Pick,IMDb ID,Movie,Year,Steven,Jon,Farzad,Average
3/2019,Farzad,947798,Black Swan,2010,8,9,8,8.3
4/2019,Jon,156887,Perfect Blue,1997,9,9,7,8.3
5/2019,Steven,311113,Master and Commander: The Far Side of the World,2003,9.5,8,8,8.5
6/2019,Farzad,2492296,Show Me A Hero,2015,7,8,8,7.7
7/2019,Jon,147800,10 Things I Hate About You,1999,7,7,5,6.3
8/2019,Steven,7242142,Blindspotting,2018,7,7,8,7.3
9/2019,Jon,181689,Minority Report,2002,8,8,7,7.7
10/2019,Farzad,134119,The Talented Mr. Ripley,1999,8,7,9,8.0
12/2019,Steven,5503686,Hustlers,2019,7,8,8,7.7
1/2020,Jon,1131734,Jennifer's Body,2009,7,7,6,6.7
2/2020,Farzad,423409,Tristram Shandy: A Cock and Bull Story,2006,6,4,8,6.0
3/2020,Steven,118749,Boogie Nights,1997,9,9,9,9.0
3/2020,Jon,851578,Paprika,2006,6,8,5,6.3
3/2020,Farzad,61418,Bonnie and Clyde,1967,10,8,10,9.3
4/2020,Steven,118694,In the Mood for Love,2000,9.5,10,9,9.5
4/2020,Jon,53198,The 400 Blows,1959,9,9,7,8.3
4/2020,Farzad,82031,Arthur,1981,,,,0.0